Race_ID,Odds,BSP,Distance_All,Finish_All,Races_All,Odds_Recent,Odds_380,Time_380,Dist_By,y_real,y_pred,y_prob,Position,Finished
782,5.0,5.25,393.33,5.03,30,4.25,4.11,24.62,-4.29,0,0,0.1501946577845333,1,6
1681,4.0,5.3,380.0,3.17,41,4.36,4.36,24.03,-3.64,0,0,0.17628513288899328,1,5
611,5.0,5.0,376.93,3.57,84,5.07,5.07,24.22,-5.54,0,0,0.17834524767904958,1,3
1977,4.0,4.9,384.0,2.64,50,4.29,4.29,24.17,-4.29,0,0,0.18091015629605148,1,3
1195,4.0,4.27,380.0,3.3,5,3.5,3.5,24.28,-4.0,0,0,0.18256657648457317,1,4
1581,3.5,4.01,495.47,2.82,43,3.5,3.5,24.25,-2.29,0,0,0.18342835485361864,1,6
145,4.0,5.6,380.0,3.71,52,5.14,5.14,24.61,-3.71,1,0,0.1841622627695621,1,1
1602,5.5,7.0,384.1,4.47,39,7.36,7.36,24.67,-5.86,1,0,0.1857785801954604,1,1
1026,3.5,4.2,380.69,4.36,16,3.62,3.62,24.33,-5.83,0,0,0.18633810344608664,1,3
254,4.0,4.7,416.4,3.63,55,4.79,4.79,24.5,-4.0,1,0,0.18643579614893,1,1
196,3.5,4.92,449.47,3.45,79,6.5,5.29,24.19,-3.61,0,0,0.18646862922253482,1,2
1217,3.5,4.36,386.67,3.36,48,4.68,4.68,24.0,-0.68,0,0,0.1873912124365821,1,6
1445,3.5,4.56,470.5,3.28,36,4.04,5.5,24.26,-4.0,0,0,0.18818529024308972,1,5
1953,4.5,5.32,397.5,3.81,64,5.0,5.07,24.29,-4.82,1,0,0.1892579823072341,1,1
1451,4.5,5.5,380.0,4.94,6,3.25,3.25,24.58,-5.0,0,0,0.18932649804388557,1,2
296,3.0,3.6,434.04,3.58,48,6.14,7.36,24.51,-4.39,0,0,0.1906246203024142,1,2
1548,4.0,5.18,418.64,3.16,44,5.04,5.04,24.32,-2.43,0,0,0.19230811319777183,1,6
607,4.0,3.87,370.18,4.4,11,6.94,6.94,24.15,-4.75,0,0,0.19267240898149493,1,2
746,4.0,5.0,413.94,3.37,33,5.71,6.36,24.36,-2.86,0,0,0.19269097023616,1,2
1148,3.25,4.9,442.95,3.59,61,4.1,4.14,24.16,-2.32,0,0,0.19421290066370336,1,6
131,4.5,5.6,385.57,5.19,23,5.4,4.89,13.8,-23.29,1,0,0.1944639604245549,1,1
1616,3.5,4.6,419.05,3.78,42,3.55,3.68,24.66,-4.43,0,0,0.1949512499966147,1,5
762,4.0,5.23,363.69,3.45,48,7.14,7.14,24.47,-2.75,0,0,0.1957916462817511,1,4
1589,3.5,4.7,401.62,3.52,37,4.79,4.79,24.04,-3.43,0,0,0.196528634146419,1,4
1129,3.5,3.95,418.72,4.14,18,3.56,3.75,24.25,-5.33,0,0,0.19655649042449827,1,2
756,2.75,3.38,385.29,2.87,84,5.5,5.5,23.93,-1.57,0,0,0.19687278971261976,1,2
1590,4.5,6.13,380.0,2.97,19,4.68,4.68,24.0,-4.04,1,0,0.19699817605800515,1,1
427,3.5,4.4,381.92,3.4,52,4.0,4.0,24.27,-3.43,0,0,0.19751445347023192,1,3
121,3.0,3.14,415.44,3.38,41,6.04,5.89,23.65,-1.71,0,0,0.1983093767786433,1,3
803,3.25,4.97,378.02,3.63,162,5.79,5.79,24.64,-2.14,0,0,0.19838245679445826,1,2
496,4.0,4.8,395.78,3.55,126,5.36,5.36,24.57,-4.36,0,0,0.1984349263026984,1,6
838,3.5,4.81,380.0,3.04,110,4.86,4.86,24.2,-1.61,0,0,0.19848225042736495,1,5
1226,4.0,5.13,380.0,2.97,31,5.18,5.18,24.27,-3.68,0,0,0.1988130898722037,1,3
1921,3.5,4.4,380.54,3.03,96,4.2,3.86,24.22,-2.57,1,0,0.1992355816307917,1,1
330,3.25,4.01,429.52,3.5,84,6.07,5.64,24.2,-3.29,0,0,0.19952409413140212,1,5
1608,4.0,4.1,469.04,3.19,73,5.25,5.21,24.23,-2.68,0,0,0.20003744189113942,1,5
529,3.5,4.2,355.94,4.38,48,4.46,4.46,24.37,-5.57,0,0,0.2002257414290877,1,4
657,4.0,5.8,386.0,3.27,37,5.71,5.71,24.07,-2.43,1,0,0.20051382800562118,1,1
1357,3.5,4.02,370.33,3.03,24,4.5,4.5,24.31,-3.43,0,0,0.20057267106685728,1,2
754,5.5,5.85,448.57,2.82,28,4.75,4.75,24.16,-3.06,1,0,0.2006602349866201,1,1
291,5.5,5.9,386.53,3.13,43,3.79,3.79,23.87,-2.07,1,0,0.2007556087821108,1,1
1153,3.5,5.3,377.01,3.12,77,4.46,4.46,24.33,-5.14,1,0,0.20118429886934042,1,1
780,3.5,4.51,429.23,4.06,26,4.5,5.18,24.62,-4.71,0,0,0.20165324138222634,1,4
1985,3.5,4.63,400.28,3.65,71,5.07,5.07,24.44,-3.14,0,0,0.20195074059229345,1,6
553,4.5,5.5,413.31,3.69,35,4.79,5.18,24.2,-3.79,1,0,0.20203497291899405,1,1
1854,4.0,4.4,449.14,3.77,35,5.17,5.21,24.51,-4.29,0,0,0.20208785595431805,1,6
1215,4.0,4.6,413.48,3.6,46,5.0,5.04,24.1,-4.04,1,0,0.20245724056707384,1,1
1079,4.5,6.41,419.33,4.48,18,6.08,5.0,24.49,-3.0,1,0,0.2025431051111835,1,1
1892,3.25,4.2,409.34,4.04,73,6.95,6.04,24.09,-0.18,1,0,0.20262968782235283,1,1
